Module	Field Identifier	Field (User Interface Label)	Field (Code Label)	Menu	NullValueMenu	Description	Examples
Antimicrobial resistance phenotypic testing	GENEPIO:0100520	AMR testing standard details	amr_testing_standard_details		null value menu	The additional details associated with the testing standard used for determination of resistance phenotype	27th ed. Wayne, PA: Clinical and Laboratory Standards Institute; 2017.
Antimicrobial resistance phenotypic testing	GENEPIO:0100531	AMR testing standard version	amr_testing_standard_version		null value menu	The version number associated with the testing standard used for determination of resistance phenotype	M100
Antimicrobial resistance phenotypic testing	GENEPIO:0100516	AMR testing susceptible breakpoint	amr_testing_susceptible_breakpoint		null value menu	The maximum measurement, in the units specified in the “AMR_measurement_units” field, for a sample to be considered “sensitive” to this antibiotic	8
Antimicrobial resistance phenotypic testing	GENEPIO:0100529	AMR vendor name	amr_vendor_name	AmrVendorNameMenu	null value menu	The name of the vendor of the testing platform used.	Sensititre [ARO:3004402]
Bioinformatics and QC metrics	GENEPIO:0100627	bioinformatics analysis details	bioinformatics_analysis_details			Any notes regarding the bioinformatics analysis.	Pure-June 09-2022,Tube replaced by Rahgavi
Bioinformatics and QC metrics	GENEPIO:0001489	bioinformatics protocol	bioinformatics_protocol			The name and version number of the bioinformatics protocol used.	
Bioinformatics and QC metrics	GENEPIO:0001472	breadth of coverage value	breadth_of_coverage_value			The percentage of the reference genome covered by the sequenced data, to a prescribed depth.	95%
Bioinformatics and QC metrics	GENEPIO:0001483	consensus genome length	consensus_genome_length			Size of the assembled genome described as the number of base pairs.	38677
Bioinformatics and QC metrics	GENEPIO:0001461	consensus sequence filename	consensus_sequence_filename			The name of the consensus sequence file.	ncov123assembly.fasta
Bioinformatics and QC metrics	GENEPIO:0001462	consensus sequence filepath	consensus_sequence_filepath			The filepath of the consensus sequence file.	/User/Documents/RespLab/Data/ncov123assembly.fasta
Bioinformatics and QC metrics	GENEPIO:0001460	consensus sequence name	consensus_sequence_name			The name of the consensus sequence.	ncov123assembly3
Bioinformatics and QC metrics	GENEPIO:0001463	consensus sequence software name	consensus_sequence_software_name			The name of software used to generate the consensus sequence.	Ivar
Bioinformatics and QC metrics	GENEPIO:0001469	consensus sequence software version	consensus_sequence_software_version			The version of the software used to generate the consensus sequence.	1.3
Bioinformatics and QC metrics	OBI:0002880	coverage (percentage)	coverage_percentage		TRUE	The percentage of the reference sequence covered by the sequence of interest.	98.2
Bioinformatics and QC metrics	GENEPIO:0100831	deduplication method	deduplication_method			The method used to remove duplicated reads in a sequence read dataset.	DeDup 0.12.8
Bioinformatics and QC metrics	GENEPIO:0001459	dehosting method	dehosting_method			The method used to remove host reads from the pathogen sequence.	Nanostripper 1.2.3
Bioinformatics and QC metrics	GENEPIO:0001475	depth of coverage threshold	depth_of_coverage_threshold			The threshold used as a cut-off for the depth of coverage.	100x
Bioinformatics and QC metrics	GENEPIO:0001474	depth of coverage value	depth_of_coverage_value			The average number of reads representing a given nucleotide in the reconstructed sequence.	400x
Bioinformatics and QC metrics	GENEPIO:0001480	fast5 filename	fast5_filename			The user-specified filename of the FAST5 file.	batch1a_sequences.fast5
Bioinformatics and QC metrics	GENEPIO:0001481	fast5 filepath	fast5_filepath			The filepath of the FAST5 file.	/User/Documents/RespLab/Data/batch1a_sequences.fast5
Bioinformatics and QC metrics	GENEPIO:0100844	genome completeness	genome_completeness			The percentage of expected genes identified in the genome being sequenced. Missing genes indicate missing genomic regions (incompleteness) in the data.	85
Bioinformatics and QC metrics	GENEPIO:0101715	genome sequence file name	genome_sequence_file_name		TRUE	The name of the consensus sequence file.	mpxvassembly.fasta
Bioinformatics and QC metrics	GENEPIO:0101716	genome sequence file path	genome_sequence_file_path		TRUE	The filepath of the consensus sequence file.	/User/Documents/ViralLab/Data/mpxvassembly.fasta
Bioinformatics and QC metrics	OBI:0002874	input file name	input_file_name			The name of the file containing the sequence data to be analysed.	ambr_staph_ABC_123.fasta
Bioinformatics and QC metrics	GENEPIO:0100829	minimum post-trimming read length	minimum_posttrimming_read_length			The threshold used as a cut-off for the minimum length of a read after trimming.	150
Bioinformatics and QC metrics	GENEPIO:0100938	N50	n50			The length of the shortest read that, together with other reads, represents at least 50% of the nucleotides in a set of sequences.	150
Bioinformatics and QC metrics	GENEPIO:0001484	Ns per 100 kbp	ns_per_100_kbp			The number of N symbols present in the consensus fasta sequence, per 100kbp of sequence.	300
Bioinformatics and QC metrics	GENEPIO:0001482	number of base pairs sequenced	number_of_base_pairs_sequenced			The number of total base pairs generated by the sequencing process.	387566
Bioinformatics and QC metrics	GENEPIO:0100937	number of contigs	number_of_contigs			The number of contigs (contiguous sequences) in a sequence assembly.	10
Bioinformatics and QC metrics	GENEPIO:0100827	number of total reads	number_of_total_reads			The total number of non-unique reads generated by the sequencing process.	423867
Bioinformatics and QC metrics	GENEPIO:0100828	number of unique reads	number_of_unique_reads			The number of unique reads generated by the sequencing process.	248236
Bioinformatics and QC metrics	GENEPIO:0100830	percent Ns across total genome length	percent_ns_across_total_genome_length			The percentage of the assembly that consists of ambiguous bases (Ns).	2
Bioinformatics and QC metrics	GENEPIO:0100845	percent read contamination	percent_read_contamination			The percent of the total number of reads identified as contamination (not belonging to the target organism) in a sequence dataset.	2
Bioinformatics and QC metrics	GENEPIO:0100561	quality control details	quality_control_details			The details surrounding a low quality determination in a quality control assessment.	CT value of 39. Low viral load. Low DNA concentration after amplification.
Bioinformatics and QC metrics	GENEPIO:0100559	quality control determination	quality_control_determination	QualityControlDeterminationMenu	TRUE	The determination of a quality control assessment.	sequence failed quality control
Bioinformatics and QC metrics	GENEPIO:0100560	quality control issues	quality_control_issues	QualityControlIssuesMenu	TRUE	The reason contributing to, or causing, a low quality determination in a quality control assessment.	low average genome coverage
Bioinformatics and QC metrics	GENEPIO:0100557	quality control method name	quality_control_method_name			The name of the method used to assess whether a sequence passed a predetermined quality control threshold.	ncov-tools
Bioinformatics and QC metrics	GENEPIO:0100558	quality control method version	quality_control_method_version			The version number of the method used to assess whether a sequence passed a predetermined quality control threshold.	1.2.3
Bioinformatics and QC metrics	GENEPIO:0001476	r1 fastq filename	r1_fastq_filename			The user-specified filename of the r1 FASTQ file.	ABC123_S1_L001_R1_001.fastq.gz
Bioinformatics and QC metrics	GENEPIO:0001478	r1 fastq filepath	r1_fastq_filepath			The filepath of the r1 FASTQ file.	/User/Documents/RespLab/Data/ABC123_S1_L001_R1_001.fastq.gz
Bioinformatics and QC metrics	GENEPIO:0001477	r2 fastq filename	r2_fastq_filename			The user-specified filename of the r2 FASTQ file.	ABC123_S1_L001_R2_001.fastq.gz
Bioinformatics and QC metrics	GENEPIO:0001479	r2 fastq filepath	r2_fastq_filepath			The filepath of the r2 FASTQ file.	/User/Documents/RespLab/Data/ABC123_S1_L001_R2_001.fastq.gz
Bioinformatics and QC metrics	GENEPIO:0001458	raw sequence data processing method	raw_sequence_data_processing_method			The method used for raw data processing such as removing barcodes, adapter trimming, filtering etc.	Porechop 0.2.3
Bioinformatics and QC metrics	OBI:0002885	reference accession	reference_accession		TRUE	An identifier that specifies an individual sequence record in a public sequence repository.	FR821777
Bioinformatics and QC metrics	OBI:0002883	reference database name	reference_database_name		TRUE	An identifier of a biological or bioinformatics database.	EZBioCloud
Bioinformatics and QC metrics	OBI:0002884	reference database version	reference_database_version		TRUE	The version of the database containing the reference sequences used for analysis.	2021-05-23
Bioinformatics and QC metrics	GENEPIO:0001485	reference genome accession	reference_genome_accession			A persistent, unique identifier of a genome database entry.	NC_045512.2
Bioinformatics and QC metrics	GENEPIO:0100846	sequence assembly length	sequence_assembly_length			The length of the genome generated by assembling reads using a scaffold or by reference-based mapping.	34272
Bioinformatics and QC metrics	GENEPIO:0100825	sequence assembly software name	sequence_assembly_software_name		TRUE	The name of the software used to assemble a sequence.	SPAdes Genome Assembler, Canu, wtdbg2, velvet
Bioinformatics and QC metrics	GENEPIO:0100826	sequence assembly software version	sequence_assembly_software_version		TRUE	The version of the software used to assemble a sequence.	3.15.5
Bioinformatics and QC metrics	OBI:0002882	sequence identity percentage	sequence_identity_percentage		TRUE	Sequence identity is the number (%) of matches (identical characters) in positions from an alignment of two molecular sequences.	99
Bioinformatics and QC metrics	GENEPIO:0100624	sequence identity (variance ratio)	sequence_identity_variance_ratio		TRUE	The ratio of the reference sequence not covered by the sequence of interest.	1/420
Bioinformatics and QC metrics	GENEPIO:0100648	top-hit strain determination	tophit_strain_determination		TRUE	The strain designation derived from the top hit in search results produced from a sequence similarity comparison.	MSHR1132(T)
